courier_id,accept_date,region_id,task_count,avg_delivery_duration_min,avg_distance_km,delivery_hour_mode,high_load,task_count_c,hour_bin,duration_trimmed
0,2023-06-20,29,1,120.0,0.022558049339096428,16,0,-24,Afternoon,120.0
0,2023-07-26,29,7,121.85714285714286,1.272034143385307,9,0,-18,Morning,121.85714285714286
0,2023-07-27,29,9,103.88888888888889,1.1248749014509924,10,0,-16,Morning,103.88888888888889
1,2023-05-03,46,1,314.0,1.279976175690406,16,0,-24,Afternoon,314.0
1,2023-05-04,46,1,323.0,1.270673239762681,17,0,-24,Afternoon,323.0
1,2023-05-05,46,1,38.0,1.280353258938788,20,0,-24,Evening,38.0
1,2023-05-06,46,1,109.0,1.26161787171975,8,0,-24,Morning,109.0
1,2023-05-07,46,1,358.0,1.2810214356764038,17,0,-24,Afternoon,358.0
1,2023-05-21,46,1,150.0,1.267917734536253,18,0,-24,Evening,150.0
1,2023-05-24,46,3,242.33333333333334,1.272912624035052,15,0,-22,Afternoon,242.33333333333334
1,2023-05-25,46,2,273.0,1.4455264801117909,9,0,-23,Morning,273.0
1,2023-05-26,46,2,56.5,1.4440232452788428,8,0,-23,Morning,56.5
1,2023-05-27,46,5,53.6,1.5343086647855575,11,0,-20,Morning,53.6
1,2023-05-28,46,7,92.85714285714286,1.6378775247298736,15,0,-18,Afternoon,92.85714285714286
1,2023-05-29,46,4,130.0,1.3614813199965237,14,0,-21,Afternoon,130.0
1,2023-05-30,46,6,117.33333333333333,1.8635003668062888,10,0,-19,Morning,117.33333333333333
1,2023-05-31,46,1,281.0,1.2780564002051609,14,0,-24,Afternoon,281.0
1,2023-06-01,46,2,220.0,1.2800794517892,14,0,-23,Afternoon,220.0
1,2023-06-02,46,1,640.0,1.3140973584285902,9,0,-24,Morning,451.02999999999884
1,2023-06-03,46,1,99.0,1.2710946132673737,18,0,-24,Evening,99.0
1,2023-06-04,46,10,73.9,0.6677417944046582,20,0,-15,Evening,73.9
1,2023-06-05,46,6,59.0,0.9339388054592667,20,0,-19,Evening,59.0
1,2023-06-06,46,22,68.13636363636364,1.6919955433075529,18,0,-3,Evening,68.13636363636364
1,2023-06-07,46,22,81.27272727272727,1.8225310184292978,13,0,-3,Afternoon,81.27272727272727
1,2023-06-08,46,25,90.24,1.791707073424829,8,0,0,Morning,90.24
1,2023-06-09,46,34,103.94117647058823,1.749557388455308,18,1,9,Evening,103.94117647058823
1,2023-06-10,46,31,82.74193548387096,1.8894931048991037,14,1,6,Afternoon,82.74193548387096
1,2023-06-11,46,27,146.40740740740742,1.6560238452136768,13,1,2,Afternoon,146.40740740740742
1,2023-06-12,46,18,108.05555555555556,1.6096600638983238,13,0,-7,Afternoon,108.05555555555556
1,2023-06-13,46,18,74.44444444444444,1.5988144080035929,19,0,-7,Evening,74.44444444444444
1,2023-06-14,46,25,74.32,1.852802120456295,18,0,0,Evening,74.32
1,2023-06-15,46,24,93.0,1.7385338537657515,10,0,-1,Morning,93.0
1,2023-06-16,46,20,52.0,1.6763973031802315,21,0,-5,Evening,52.0
1,2023-06-17,46,20,60.3,1.2514868275029591,20,0,-5,Evening,60.3
1,2023-06-18,46,31,103.80645161290323,1.3986572797593237,10,1,6,Morning,103.80645161290323
1,2023-06-19,46,24,80.83333333333333,0.8170365116874807,13,0,-1,Afternoon,80.83333333333333
1,2023-06-20,46,19,90.36842105263158,0.6423636220268982,19,0,-6,Evening,90.36842105263158
1,2023-06-21,46,28,64.89285714285714,0.7413283605966766,19,1,3,Evening,64.89285714285714
1,2023-06-22,46,17,98.23529411764706,0.6406519352721148,10,0,-8,Morning,98.23529411764706
1,2023-06-23,46,33,97.6969696969697,1.7965064498672512,16,1,8,Afternoon,97.6969696969697
1,2023-06-24,46,25,80.52,1.888260001457947,12,0,0,Afternoon,80.52
1,2023-06-28,46,28,156.92857142857142,1.779108166601096,16,1,3,Afternoon,156.92857142857142
1,2023-06-29,46,38,76.52631578947368,1.85688652405454,18,1,13,Evening,76.52631578947368
1,2023-06-30,46,22,108.36363636363636,1.8501782122964814,16,0,-3,Afternoon,108.36363636363636
1,2023-07-01,46,21,75.0952380952381,1.8769289481491138,18,0,-4,Evening,75.0952380952381
1,2023-07-02,46,32,67.75,1.8531091413293477,16,1,7,Afternoon,67.75
1,2023-07-03,46,44,89.9090909090909,1.849961537207956,9,1,19,Morning,89.9090909090909
1,2023-07-04,46,43,95.48837209302326,1.7586421802433405,11,1,18,Morning,95.48837209302326
1,2023-07-05,46,32,79.53125,1.7435980835396516,17,1,7,Afternoon,79.53125
1,2023-07-06,46,45,61.62222222222222,1.8864440329424166,8,1,20,Morning,61.62222222222222
1,2023-07-07,46,41,76.7560975609756,1.7290309883283315,11,1,16,Morning,76.7560975609756
1,2023-07-08,46,51,68.56862745098039,1.831985511254394,19,1,26,Evening,68.56862745098039
1,2023-07-09,46,45,63.91111111111111,1.8752822064563168,10,1,20,Morning,63.91111111111111
1,2023-07-10,46,12,134.66666666666666,1.7881762762611026,10,0,-13,Morning,134.66666666666666
1,2023-07-11,46,31,83.58064516129032,1.3572805146520406,17,1,6,Afternoon,83.58064516129032
1,2023-07-12,46,23,69.1304347826087,1.5568556742052666,14,0,-2,Afternoon,69.1304347826087
1,2023-07-13,46,16,103.75,1.4045937620433926,20,0,-9,Evening,103.75
1,2023-07-14,46,13,132.0,1.0987732027819574,17,0,-12,Afternoon,132.0
1,2023-07-15,46,6,52.333333333333336,1.0232912084632824,22,0,-19,Evening,52.333333333333336
1,2023-07-16,46,10,110.4,1.468166681349667,18,0,-15,Evening,110.4
1,2023-07-17,46,7,99.57142857142857,1.4878548281987523,20,0,-18,Evening,99.57142857142857
1,2023-07-18,46,17,117.17647058823529,1.2989032284378155,14,0,-8,Afternoon,117.17647058823529
1,2023-07-19,46,29,94.17241379310344,1.4023140488781116,14,1,4,Afternoon,94.17241379310344
1,2023-07-20,46,10,141.1,1.37496929183138,17,0,-15,Afternoon,141.1
1,2023-07-21,46,32,97.59375,1.3806470366658707,11,1,7,Morning,97.59375
1,2023-07-22,46,29,132.31034482758622,1.4652330296874934,12,1,4,Afternoon,132.31034482758622
