courier_id,accept_date,region_id,task_count,avg_delivery_duration_min,avg_distance_km,delivery_hour_mode,high_load,task_count_c,hour_bin,log_duration
0,2023-06-20,29,1,120.0,0.022558049339096428,16,0,-34,Afternoon,4.787491742782046
0,2023-07-26,29,7,121.85714285714286,1.272034143385307,9,0,-28,Morning,4.802849398436366
0,2023-07-27,29,9,103.88888888888889,1.1248749014509924,10,0,-26,Morning,4.643321951952467
1,2023-05-03,46,1,314.0,1.279976175690406,16,0,-34,Afternoon,5.749392985908253
1,2023-05-04,46,1,323.0,1.270673239762681,17,0,-34,Afternoon,5.777652323222656
1,2023-05-05,46,1,38.0,1.280353258938788,20,0,-34,Evening,3.6375861597263857
1,2023-05-06,46,1,109.0,1.26161787171975,8,0,-34,Morning,4.6913478822291435
1,2023-05-07,46,1,358.0,1.2810214356764038,17,0,-34,Afternoon,5.8805329864007
1,2023-05-21,46,1,150.0,1.267917734536253,18,0,-34,Evening,5.0106352940962555
1,2023-05-24,46,3,242.33333333333334,1.272912624035052,15,0,-32,Afternoon,5.49031418886541
1,2023-05-25,46,2,273.0,1.4455264801117909,9,0,-33,Morning,5.60947179518496
1,2023-05-26,46,2,56.5,1.4440232452788428,8,0,-33,Morning,4.034240638152395
1,2023-05-27,46,5,53.6,1.5343086647855575,11,0,-30,Morning,3.9815490680767565
1,2023-05-28,46,7,92.85714285714286,1.6378775247298736,15,0,-28,Afternoon,4.531062213834369
1,2023-05-29,46,4,130.0,1.3614813199965237,14,0,-31,Afternoon,4.867534450455582
1,2023-05-30,46,6,117.33333333333333,1.8635003668062888,10,0,-29,Morning,4.765018886929988
1,2023-05-31,46,1,281.0,1.2780564002051609,14,0,-34,Afternoon,5.638354669333745
1,2023-06-01,46,2,220.0,1.2800794517892,14,0,-33,Afternoon,5.393627546352362
1,2023-06-02,46,1,640.0,1.3140973584285902,9,0,-34,Morning,6.111533784712563
1,2023-06-03,46,1,99.0,1.2710946132673737,18,0,-34,Evening,4.59511985013459
1,2023-06-04,46,10,73.9,0.6677417944046582,20,0,-25,Evening,4.302712827954156
1,2023-06-05,46,6,59.0,0.9339388054592667,20,0,-29,Evening,4.07753744390572
1,2023-06-06,46,22,68.13636363636364,1.6919955433075529,18,0,-13,Evening,4.221511044744282
1,2023-06-07,46,22,81.27272727272727,1.8225310184292978,13,0,-13,Afternoon,4.397810502375144
1,2023-06-08,46,25,90.24,1.791707073424829,8,0,-10,Morning,4.502472787749749
1,2023-06-09,46,34,103.94117647058823,1.749557388455308,18,0,-1,Evening,4.64382512826348
1,2023-06-10,46,31,82.74193548387096,1.8894931048991037,14,0,-4,Afternoon,4.415726553119724
1,2023-06-11,46,27,146.40740740740742,1.6560238452136768,13,0,-8,Afternoon,4.986393197292356
1,2023-06-12,46,18,108.05555555555556,1.6096600638983238,13,0,-17,Afternoon,4.682645498156382
1,2023-06-13,46,18,74.44444444444444,1.5988144080035929,19,0,-17,Evening,4.3100531350487925
1,2023-06-14,46,25,74.32,1.852802120456295,18,0,-10,Evening,4.308380094505583
1,2023-06-15,46,24,93.0,1.7385338537657515,10,0,-11,Morning,4.532599493153256
1,2023-06-16,46,20,52.0,1.6763973031802315,21,0,-15,Evening,3.9512437185814275
1,2023-06-17,46,20,60.3,1.2514868275029591,20,0,-15,Evening,4.09933210373314
1,2023-06-18,46,31,103.80645161290323,1.3986572797593237,10,0,-4,Morning,4.642528123067183
1,2023-06-19,46,24,80.83333333333333,0.8170365116874807,13,0,-11,Afternoon,4.392389421709428
1,2023-06-20,46,19,90.36842105263158,0.6423636220268982,19,0,-16,Evening,4.503894881731035
1,2023-06-21,46,28,64.89285714285714,0.7413283605966766,19,0,-7,Evening,4.172737558220967
1,2023-06-22,46,17,98.23529411764706,0.6406519352721148,10,0,-18,Morning,4.587365561354584
1,2023-06-23,46,33,97.6969696969697,1.7965064498672512,16,0,-2,Afternoon,4.581870542160039
1,2023-06-24,46,25,80.52,1.888260001457947,12,0,-10,Afternoon,4.388505600771591
1,2023-06-28,46,28,156.92857142857142,1.779108166601096,16,0,-7,Afternoon,5.055790742769352
1,2023-06-29,46,38,76.52631578947368,1.85688652405454,18,1,3,Evening,4.337634678927024
1,2023-06-30,46,22,108.36363636363636,1.8501782122964814,16,0,-13,Afternoon,4.685492574826925
1,2023-07-01,46,21,75.0952380952381,1.8769289481491138,18,0,-14,Evening,4.318757149239615
1,2023-07-02,46,32,67.75,1.8531091413293477,16,0,-3,Afternoon,4.21582445975981
1,2023-07-03,46,44,89.9090909090909,1.849961537207956,9,1,9,Morning,4.498799058824342
1,2023-07-04,46,43,95.48837209302326,1.7586421802433405,11,1,8,Morning,4.559004481885316
1,2023-07-05,46,32,79.53125,1.7435980835396516,17,0,-3,Afternoon,4.376150026184897
1,2023-07-06,46,45,61.62222222222222,1.8864440329424166,8,1,10,Morning,4.1210225558454585
1,2023-07-07,46,41,76.7560975609756,1.7290309883283315,11,1,6,Morning,4.340632830360099
1,2023-07-08,46,51,68.56862745098039,1.831985511254394,19,1,16,Evening,4.22783510433905
1,2023-07-09,46,45,63.91111111111111,1.8752822064563168,10,1,10,Morning,4.157493229070617
1,2023-07-10,46,12,134.66666666666666,1.7881762762611026,10,0,-23,Morning,4.9028025892930405
1,2023-07-11,46,31,83.58064516129032,1.3572805146520406,17,0,-4,Afternoon,4.425811976076964
1,2023-07-12,46,23,69.1304347826087,1.5568556742052666,14,0,-12,Afternoon,4.235995079285128
1,2023-07-13,46,16,103.75,1.4045937620433926,20,0,-19,Evening,4.641984159110808
1,2023-07-14,46,13,132.0,1.0987732027819574,17,0,-22,Afternoon,4.882801922586371
1,2023-07-15,46,6,52.333333333333336,1.0232912084632824,22,0,-29,Evening,3.9576335166801986
1,2023-07-16,46,10,110.4,1.468166681349667,18,0,-25,Evening,4.704110133842995
1,2023-07-17,46,7,99.57142857142857,1.4878548281987523,20,0,-28,Evening,4.600875261705211
1,2023-07-18,46,17,117.17647058823529,1.2989032284378155,14,0,-18,Afternoon,4.763681094088327
1,2023-07-19,46,29,94.17241379310344,1.4023140488781116,14,0,-6,Afternoon,4.545127291487231
1,2023-07-20,46,10,141.1,1.37496929183138,17,0,-25,Afternoon,4.9494688588587685
1,2023-07-21,46,32,97.59375,1.3806470366658707,11,0,-3,Morning,4.580813454483352
1,2023-07-22,46,29,132.31034482758622,1.4652330296874934,12,0,-6,Afternoon,4.885150260260478
1,2023-07-23,46,25,160.4,1.4182586564928852,9,0,-10,Morning,5.077670695432414
1,2023-07-24,46,19,119.3157894736842,1.4354934551408172,15,0,-16,Afternoon,4.781773671341089
1,2023-07-25,46,24,98.20833333333333,1.4752851792843507,16,0,-11,Afternoon,4.587091072588185
1,2023-07-26,46,28,132.46428571428572,1.3808873959810815,11,0,-7,Morning,4.886313067314387
1,2023-07-27,46,30,149.3,1.3804537275062676,12,0,-5,Afternoon,5.005957704545144
1,2023-07-28,46,27,78.74074074074075,1.3771219160748585,11,0,-8,Morning,4.366160692897564
1,2023-07-29,46,15,40.86666666666667,1.8367164093011406,17,0,-20,Afternoon,3.7103147348340015
1,2023-07-30,46,32,70.15625,1.453214318436748,16,0,-3,Afternoon,4.250724897376628
1,2023-07-31,46,32,57.8125,1.3865359794445091,15,0,-3,Afternoon,4.057205015272644
1,2023-08-01,46,11,42.81818181818182,1.3942913219086615,16,0,-24,Afternoon,3.756962821218047
1,2023-08-02,46,23,92.43478260869566,1.2047073941883317,11,0,-12,Morning,4.5265033429727435
1,2023-08-03,46,24,73.625,1.3159693954126386,18,0,-11,Evening,4.29898464197175
1,2023-08-04,46,34,53.55882352941177,1.6471761640448446,10,0,-1,Morning,3.980780555111447
1,2023-08-05,46,29,127.55172413793103,1.7264117799972363,10,0,-6,Morning,4.84852196184598
1,2023-08-06,46,32,89.96875,1.3626889791311285,10,0,-3,Morning,4.499462387812449
1,2023-08-07,46,4,45.75,1.0276098845694563,18,0,-31,Evening,3.82319179172153
1,2023-08-08,46,30,70.13333333333334,1.0838412322359459,13,0,-5,Afternoon,4.250398192195445
1,2023-08-09,46,16,101.0,0.9215805757136077,16,0,-19,Afternoon,4.61512051684126
1,2023-08-10,46,40,120.525,1.0349387808634811,10,1,5,Morning,4.791857200291686
1,2023-08-11,46,47,88.19148936170212,1.7735090536360618,20,1,12,Evening,4.479510465859336
1,2023-08-12,46,32,60.90625,1.4333412050923386,15,0,-3,Afternoon,4.1093357967078346
1,2023-08-13,46,48,64.39583333333333,1.9372362901776945,9,1,13,Morning,4.165048931224225
1,2023-08-14,46,38,133.97368421052633,1.3283591023253833,8,1,3,Morning,4.89764339417595
1,2023-08-15,46,35,85.85714285714286,1.323909831844734,8,0,0,Morning,4.452684785479894
1,2023-08-16,46,48,78.6875,1.2804872468249282,15,1,13,Afternoon,4.365484311804566
1,2023-08-17,46,37,104.29729729729729,1.3191972074936396,10,1,2,Morning,4.647245448893394
1,2023-08-18,46,35,92.71428571428571,1.2700099193357666,15,0,0,Afternoon,4.529522567648777
1,2023-08-19,46,39,83.53846153846153,1.3089140147647138,8,1,4,Morning,4.425307143032344
